route_id,service_id,trip_id
1,105,1143852
1,105,1332166
1,105,1626700
1,105,230883
1,105,306061
1,105,445330
1,105,50000
1,125,1089595
1,137,1130386
1,207,1362844
1,207,1517034
1,207,1564141
1,207,1583034
1,207,222306
1,207,256883
1,207,406157
1,207,669482
1,239,1282511
1,239,961150
1,244,544519
1,245,484366
1,295,1097755
1,313,395651
1,313,411424
1,33,783136
1,363,954861
1,395,1317380
1,395,488093
1,413,1143089
1,413,135981
1,414,210710
1,485,1470532
1,504,104342
1,526,529235
1,528,1214479
1,531,879218
1,580,1613052
1,594,94800
1,603,218136
1,604,595407
1,607,1088584
1,607,1520464
1,607,277475
1,616,419385
1,623,858890
1,631,1153656
1,631,485084
1,642,346791
1,674,1402246
1,679,1185864
1,679,1523432
1,694,154922
1,696,543609
1,714,1257624
1,714,1361241
1,714,345454
1,714,39627
1,714,736600
1,714,892139
1,735,11679
1,735,514406
1,735,58572
1,749,1591353
1,749,492760
1,755,1110724
1,758,32615
1,760,470241
1,787,711620
1,792,982682
1,807,1452001
1,847,1414753
1,875,1024796
1,875,483960
1,875,698119
1,878,1219876
10,845,496298
11,103,1416608
11,149,1009630
11,149,1012570
11,149,1062683
11,149,1185776
11,149,1207627
11,149,1228200
11,149,1422739
11,149,332516
11,149,731176
11,149,741295
11,149,787518
11,149,793942
11,169,823925
11,208,364374
11,23,1476029
11,297,1065054
11,297,1150896
11,297,1588235
11,297,66789
11,297,953765
11,297,994292
11,33,481242
11,33,937406
11,343,314920
11,343,564222
11,350,18185
11,350,835265
11,402,1271115
11,402,1600451
11,402,1662018
11,402,756439
11,411,712930
11,462,1177108
11,462,1565204
11,462,1653811
11,462,409113
11,462,423958
11,462,496721
11,462,640425
11,462,7272
11,522,1535200
11,526,139202
11,526,1399500
11,571,103182
11,571,1318548
11,603,1002991
11,603,1464748
11,603,489028
11,603,894548
11,624,1298594
11,624,382029
11,655,1184358
11,655,1263852
11,655,1421515
11,655,1422904
11,655,1480136
11,655,211737
11,655,337387
11,655,68634
11,655,693024
11,655,698462
11,657,398368
11,669,147002
11,689,470881
11,714,1341286
11,716,927551
11,720,100087
11,741,1255087
11,755,1165080
11,755,1440815
11,755,14522
11,755,1452256
11,755,1488876
11,755,1526254
11,755,1576179
11,755,455065
11,755,628974
11,755,715232
11,761,661914
11,798,1043495
11,830,941967
11,868,366848
11,868,412017
12,125,635754
12,137,347254
12,149,1533779
12,149,226693
12,162,1563408
12,165,1448586
12,17,1569498
12,17,250196
12,17,683506
12,182,931538
12,208,1127174
12,208,1625124
12,208,267870
12,208,427354
12,217,462178
12,23,131442
12,240,1024911
12,245,312189
12,247,502234
12,263,1233078
12,263,1323079
12,263,406921
12,263,474111
12,263,839927
12,3,762750
12,329,1630213
12,33,1026767
12,33,1196119
12,33,1204592
12,33,299991
12,363,1576780
12,402,1079554
12,402,1241497
12,402,512289
12,402,540759
12,402,752985
12,431,34900
12,437,204382
12,437,649791
12,437,700791
12,448,1350605
12,453,61016
12,467,828683
12,479,1019370
12,522,1013497
12,522,1100504
12,522,1191403
12,522,1356245
12,522,985370
12,528,137128
12,528,1376457
12,530,491694
12,558,1489272
12,571,143968
12,571,1512511
12,571,404625
12,571,515375
12,575,818493
12,603,1099843
12,603,1105609
12,603,1123244
12,603,195915
12,603,410596
12,603,49675
12,603,511239
12,603,515943
12,612,783827
12,615,58124
12,641,1279283
12,641,652377
12,646,285585
12,655,370473
12,655,414584
12,655,70160
12,658,33138
12,66,1124058
12,669,498408
12,669,632514
